,index,Col1,Col2,Col3,Col4,Col5,mc1,mc2,mc3,mc4,mc5,m11,m12,m13,m14,m15
70,70,-0.03063497319817543,-0.023180048912763596,-0.011522572487592695,0.00555395195260644,2.086568429149338e-08,-0.031495215371251106,-0.024025773629546165,-0.012494365219026804,0.004506260505877437,1.8177304994537732e-08,-0.03063497319817543,-0.023180048912763596,-0.011522572487592695,0.00555395195260644,2.086568429149338e-08
71,71,-0.03046909160912037,-0.02357763983309269,-0.01255418173968792,0.004642452578991652,-2.9518606226019983e-08,-0.0305520324036479,-0.023378844372928143,-0.012038377113640308,0.005098202265799047,-4.3264609672633014e-09,-0.03046909160912037,-0.023180048912763596,-0.011522572487592695,0.00555395195260644,2.086568429149338e-08
72,72,-0.034593697637319565,-0.02729952521622181,-0.016297414898872375,0.0005420228117145598,-2.6279606046841764e-08,-0.03253139462321997,-0.02543858252465725,-0.014425798319280148,0.002592237695353108,-2.7899106136430873e-08,-0.03046909160912037,-0.02357763983309269,-0.01255418173968792,0.004642452578991652,-2.6279606046841764e-08
73,73,-0.03725128620862961,-0.029735082760453224,-0.01847437024116516,-0.0009821185376495123,-4.205400472301335e-08,-0.035922491922974586,-0.028517303988337517,-0.01738589257001877,-0.00022004786296747451,-3.4166805384927557e-08,-0.034593697637319565,-0.02729952521622181,-0.016297414898872375,0.0005420228117145598,-2.6279606046841764e-08
74,74,-0.037466369569301605,-0.029684642329812046,-0.01841056160628796,-0.0011208710493519902,-8.302457388253971e-08,-0.03735882788896561,-0.029709862545132637,-0.01844246592372656,-0.0010514947935007495,-6.253928930277652e-08,-0.03725128620862961,-0.029684642329812046,-0.01841056160628796,-0.0009821185376495123,-4.205400472301335e-08
75,75,-0.035062819719314575,-0.027753204107284542,-0.01706257462501526,-0.0007518366910517215,-1.0157639707131239e-07,-0.03626459464430809,-0.028718923218548294,-0.017736568115651608,-0.0009363538702018542,-9.230048547692604e-08,-0.035062819719314575,-0.027753204107284542,-0.01706257462501526,-0.0007518366910517215,-8.302457388253971e-08
76,76,-0.04922271147370338,-0.03995520994067192,-0.02652475424110889,-0.0066244732588529595,-9.609346562911014e-08,-0.04214276559650898,-0.03385420702397823,-0.021793664433062077,-0.003688154974952339,-9.883493135021126e-08,-0.035062819719314575,-0.027753204107284542,-0.01706257462501526,-0.0007518366910517215,-9.609346562911014e-08
77,77,-0.04929077997803688,-0.0407787300646305,-0.027859674766659737,-0.007643782999366522,-1.3697764700282278e-07,-0.04925674572587013,-0.040366970002651215,-0.027192214503884315,-0.0071341281291097385,-1.1653555631596646e-07,-0.04922271147370338,-0.03995520994067192,-0.02652475424110889,-0.0066244732588529595,-9.609346562911014e-08
78,78,-0.050117284059524536,-0.04113192856311798,-0.028252312913537025,-0.008548511192202568,-1.3505551521575399e-07,-0.04970403201878071,-0.040955329313874245,-0.02805599384009838,-0.008096147095784543,-1.3601658110928838e-07,-0.04929077997803688,-0.0407787300646305,-0.027859674766659737,-0.007643782999366522,-1.3505551521575399e-07
79,79,-0.05065029487013817,-0.04201122745871544,-0.02979832887649536,-0.010084007866680622,-1.5185679558271659e-07,-0.05038378946483135,-0.04157157801091671,-0.029025320895016193,-0.009316259529441593,-1.4345615539923529e-07,-0.050117284059524536,-0.04113192856311798,-0.028252312913537025,-0.008548511192202568,-1.3505551521575399e-07
80,80,-0.053093984723091125,-0.04418099299073219,-0.03092873841524124,-0.010042681358754635,-1.3728130454637721e-07,-0.05187213979661465,-0.043096110224723816,-0.0303635336458683,-0.010063344612717627,-1.445690500645469e-07,-0.05065029487013817,-0.04201122745871544,-0.02979832887649536,-0.010042681358754635,-1.3728130454637721e-07
81,81,-0.05131790041923522,-0.042129307985305786,-0.029133602976799008,-0.009298280812799929,-1.2437314467206306e-07,-0.05220594257116318,-0.04315515048801899,-0.030031170696020126,-0.00967048108577728,-1.3082722460922014e-07,-0.05131790041923522,-0.042129307985305786,-0.029133602976799008,-0.009298280812799929,-1.2437314467206306e-07
82,82,-0.0432489588856697,-0.035414040088653564,-0.0240571852773428,-0.005253820214420557,-7.065217033641602e-08,-0.04728342965245246,-0.038771674036979675,-0.026595394127070904,-0.007276050513610241,-9.751265750423954e-08,-0.0432489588856697,-0.035414040088653564,-0.0240571852773428,-0.005253820214420557,-7.065217033641602e-08
83,83,-0.04372704401612282,-0.0354107990860939,-0.023919906467199326,-0.005790229421108961,-6.115953254948181e-08,-0.04348800145089626,-0.035412419587373734,-0.02398854587227106,-0.005522024817764757,-6.590585144294892e-08,-0.0432489588856697,-0.0354107990860939,-0.023919906467199326,-0.005253820214420557,-6.115953254948181e-08
84,84,-0.04307597875595093,-0.035093117505311966,-0.02432774007320404,-0.0068285129964351645,-1.0734758149055779e-07,-0.04340151138603687,-0.035251958295702934,-0.024123823270201683,-0.0063093712087720615,-8.42535570200198e-08,-0.04307597875595093,-0.035093117505311966,-0.023919906467199326,-0.005790229421108961,-6.115953254948181e-08
